task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-code,arcotl,deterministic,-,-,-,mediastore,60,,,,transarc-emp/mini-data/mediastore/sam-code/samCodeTlr_mediastore.csv,63f02ddeef80dbbb
model-code,arcotl,deterministic,-,-,-,teastore,164,,,,transarc-emp/mini-data/teastore/sam-code/samCodeTlr_teastore.csv,6185d62033812f57
model-code,arcotl,deterministic,-,-,-,teammates,1616,,,,transarc-emp/mini-data/teammates/sam-code/samCodeTlr_teammates.csv,6310724e06a5bede
model-code,arcotl,deterministic,-,-,-,bigbluebutton,748,,,,transarc-emp/mini-data/bigbluebutton/sam-code/samCodeTlr_bigbluebutton.csv,75c2f2fe57515103
model-code,arcotl,deterministic,-,-,-,jabref,1957,,,,transarc-emp/mini-data/jabref/sam-code/samCodeTlr_jabref.csv,8f4ab7ec1965e96a
