task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,sonnet_s21,claude,full,run1,mediastore,31,0.9677,0.9677,0.9677,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run1/mediastore.json,58637f114b091578
model-doc,aalinker,sonnet_s21,claude,full,run1,teastore,28,0.9643,1.0000,0.9818,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run1/teastore.json,aa8f9a2d35d0221f
model-doc,aalinker,sonnet_s21,claude,full,run1,teammates,55,0.9273,0.8947,0.9107,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run1/teammates.json,8ff97461475c1f19
model-doc,aalinker,sonnet_s21,claude,full,run1,bigbluebutton,47,0.9574,0.7258,0.8257,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run1/bigbluebutton.json,f56980567d7cc690
model-doc,aalinker,sonnet_s21,claude,full,run1,jabref,19,0.9474,1.0000,0.9730,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run1/jabref.json,2ab3f8adf906251a
model-doc,aalinker,sonnet_s21,claude,full,run2,mediastore,29,1.0000,0.9355,0.9667,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run2/mediastore.json,942f56721b285072
model-doc,aalinker,sonnet_s21,claude,full,run2,teastore,26,1.0000,0.9630,0.9811,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run2/teastore.json,d8e25fb5c843fe83
model-doc,aalinker,sonnet_s21,claude,full,run2,teammates,54,0.9444,0.8947,0.9189,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run2/teammates.json,e0d942bc142870fa
model-doc,aalinker,sonnet_s21,claude,full,run2,bigbluebutton,49,0.9592,0.7581,0.8468,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run2/bigbluebutton.json,9961a7f491e83146
model-doc,aalinker,sonnet_s21,claude,full,run2,jabref,19,0.9474,1.0000,0.9730,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run2/jabref.json,be58dba5a48f3186
model-doc,aalinker,sonnet_s21,claude,full,run3,mediastore,27,0.9630,0.8387,0.8966,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run3/mediastore.json,d27ad7c47a2ebe07
model-doc,aalinker,sonnet_s21,claude,full,run3,teastore,30,0.9000,1.0000,0.9474,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run3/teastore.json,6ef9a6dbc882d810
model-doc,aalinker,sonnet_s21,claude,full,run3,teammates,51,0.9608,0.8596,0.9074,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run3/teammates.json,83a96ef7d44b5c00
model-doc,aalinker,sonnet_s21,claude,full,run3,bigbluebutton,43,0.9767,0.6774,0.8000,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run3/bigbluebutton.json,5d6d4c90d8b77a9e
model-doc,aalinker,sonnet_s21,claude,full,run3,jabref,18,1.0000,1.0000,1.0000,agent-linker/results/v2.6.6_extracts_s21_sonnet/sonnet/run3/jabref.json,666ff2e74e0c8c4b
